rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
1130,Vet Anim Sci,Veterinary and animal science,3,530,0.005660
1131,Proc Jpn Acad Ser B Phys Biol Sci,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",4,707,0.005658
1132,Brain Nerve,Brain and nerve = Shinkei kenkyu no shinpo,16,2832,0.005650
1133,Sex Med Rev,Sexual medicine reviews,4,709,0.005642
1134,Nat Microbiol,Nature microbiology,15,2663,0.005633
1135,Bioessays,"BioEssays : news and reviews in molecular, cellular and developmental biology",17,3023,0.005624
1136,Adv Kidney Dis Health,Advances in kidney disease and health,1,178,0.005618
1137,Curr Protoc Mouse Biol,Current protocols in mouse biology,1,178,0.005618
1138,Free Neuropathol,Free neuropathology,1,178,0.005618
1139,J Stroke Cerebrovasc Dis,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,42,7481,0.005614
1140,Hum Brain Mapp,Human brain mapping,34,6069,0.005602
1141,Fac Rev,Faculty reviews,1,179,0.005587
1142,Infect Med (Beijing),Infectious medicine,1,179,0.005587
1143,Rheumatol Immunol Res,Rheumatology and immunology research,1,179,0.005587
1144,Clin Nutr,"Clinical nutrition (Edinburgh, Scotland)",30,5375,0.005581
1145,Int Rev Cell Mol Biol,International review of cell and molecular biology,5,896,0.005580
1146,RNA Biol,RNA biology,14,2517,0.005562
1147,Hypertens Res,Hypertension research : official journal of the Japanese Society of Hypertension,26,4687,0.005547
1148,Int J Stroke,International journal of stroke : official journal of the International Stroke Society,16,2889,0.005538
1149,Pain,Pain,38,6867,0.005534
1150,Epidemiology,"Epidemiology (Cambridge, Mass.)",17,3073,0.005532
1151,Cent Asian J Glob Health,Central Asian journal of global health,1,181,0.005525
1152,Lupus,Lupus,24,4347,0.005521
1153,ArXiv,ArXiv,11,1996,0.005511
1154,Future Sci OA,Future science OA,6,1089,0.005510
1155,J Cardiovasc Dev Dis,Journal of cardiovascular development and disease,13,2360,0.005508
1156,Pediatr Allergy Immunol,Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,17,3088,0.005505
1157,J Inflamm Res,Journal of inflammation research,21,3818,0.005500
1158,Rep Biochem Mol Biol,Reports of biochemistry & molecular biology,3,546,0.005495
1159,Int J Clin Pract Suppl,International journal of clinical practice. Supplement,1,182,0.005495
1160,Methods Inf Med,Methods of information in medicine,6,1093,0.005489
1161,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,5,914,0.005470
1162,Int J Methods Psychiatr Res,International journal of methods in psychiatric research,4,733,0.005457
1163,J Multidiscip Healthc,Journal of multidisciplinary healthcare,16,2935,0.005451
1164,Exp Mol Pathol,Experimental and molecular pathology,11,2021,0.005443
1165,Gastric Cancer,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,10,1839,0.005438
1166,Blood Neoplasia,Blood neoplasia,1,184,0.005435
1167,Shock,"Shock (Augusta, Ga.)",22,4049,0.005433
1168,J Dig Dis,Journal of digestive diseases,8,1475,0.005424
1169,Lancet Digit Health,The Lancet. Digital health,5,923,0.005417
1170,Biol Res,Biological research,6,1108,0.005415
1171,Diabetes Metab,Diabetes & metabolism,9,1664,0.005409
1172,Eur Urol Open Sci,European urology open science,5,928,0.005388
1173,Protein Cell,Protein & cell,9,1671,0.005386
1174,Minerva Endocrinol,Minerva endocrinologica,3,557,0.005386
1175,Nutrients,Nutrients,197,36641,0.005376
1176,J Biomed Semantics,Journal of biomedical semantics,3,558,0.005376
1177,Med Rev (2021),Medical review (2021),1,186,0.005376
1178,Nervenarzt,Der Nervenarzt,18,3358,0.005360
1179,Chronic Obstr Pulm Dis,"Chronic obstructive pulmonary diseases (Miami, Fla.)",3,560,0.005357
1180,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,33,6184,0.005336
1181,Neuron,Neuron,44,8247,0.005335
1182,Stroke Res Treat,Stroke research and treatment,2,375,0.005333
1183,Pathol Biol (Paris),Pathologie-biologie,4,751,0.005326
1184,MedComm (2020),MedComm,7,1315,0.005323
1185,J Assoc Genet Technol,Journal of the Association of Genetic Technologists,1,188,0.005319
1186,Life Med,Life medicine,1,188,0.005319
1187,Epidemiol Health,Epidemiology and health,5,941,0.005313
1188,Clin Psychopharmacol Neurosci,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,5,942,0.005308
1189,Chin Clin Oncol,Chinese clinical oncology,5,944,0.005297
1190,J Reprod Immunol,Journal of reproductive immunology,9,1700,0.005294
1191,Eur J Nutr,European journal of nutrition,21,3967,0.005294
1192,Headache,Headache,22,4156,0.005294
1193,J Diabetes Metab Disord,Journal of diabetes and metabolic disorders,10,1891,0.005288
1194,Int Immunol,International immunology,8,1514,0.005284
1195,Am Soc Clin Oncol Educ Book,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,7,1325,0.005283
1196,Clin Endocrinol (Oxf),Clinical endocrinology,25,4749,0.005264
1197,Ther Adv Endocrinol Metab,Therapeutic advances in endocrinology and metabolism,3,570,0.005263
1198,Hormones (Athens),"Hormones (Athens, Greece)",7,1332,0.005255
1199,Semin Cancer Biol,Seminars in cancer biology,10,1906,0.005247
1200,Int J Tryptophan Res,International journal of tryptophan research : IJTR,1,191,0.005236
1201,Cancer Sci,Cancer science,33,6316,0.005225
1202,Br Poult Sci,British poultry science,10,1916,0.005219
1203,Rev Endocr Metab Disord,Reviews in endocrine & metabolic disorders,5,960,0.005208
1204,Exp Neurobiol,Experimental neurobiology,3,576,0.005208
1205,BJC Rep,BJC reports,1,192,0.005208
1206,Arch Gerontol Geriatr,Archives of gerontology and geriatrics,21,4035,0.005204
1207,J Mol Diagn,The Journal of molecular diagnostics : JMD,10,1923,0.005200
1208,Lancet Healthy Longev,The lancet. Healthy longevity,4,770,0.005195
1209,Tuberc Res Treat,Tuberculosis research and treatment,1,193,0.005181
1210,Curr Dev Nutr,Current developments in nutrition,6,1159,0.005177
1211,Psychosom Med,Psychosomatic medicine,11,2126,0.005174
1212,Int Rev Immunol,International reviews of immunology,3,580,0.005172
1213,Immunohorizons,ImmunoHorizons,3,581,0.005164
1214,J Poult Sci,The journal of poultry science,2,388,0.005155
1215,Rev Bras Reumatol Engl Ed,Revista brasileira de reumatologia,1,194,0.005155
1216,Leukemia,Leukemia,36,6996,0.005146
1217,Braz J Otorhinolaryngol,Brazilian journal of otorhinolaryngology,14,2722,0.005143
1218,FASEB J,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,61,11863,0.005142
1219,Hypertens Pregnancy,Hypertension in pregnancy,4,779,0.005135
1220,RMD Open,RMD open,10,1949,0.005131
1221,Bladder Cancer,"Bladder cancer (Amsterdam, Netherlands)",2,390,0.005128
1222,Aging Med (Milton),Aging medicine (Milton (N.S.W)),2,391,0.005115
1223,J Neurogenet,Journal of neurogenetics,3,587,0.005111
1224,J Exp Pharmacol,Journal of experimental pharmacology,2,392,0.005102
1225,Cereb Circ Cogn Behav,Cerebral circulation - cognition and behavior,1,196,0.005102
1226,J Gastroenterol Hepatol,Journal of gastroenterology and hepatology,37,7259,0.005097
1227,AMIA Annu Symp Proc,AMIA ... Annual Symposium proceedings. AMIA Symposium,17,3336,0.005096
1228,Clin Exp Gastroenterol,Clinical and experimental gastroenterology,3,589,0.005093
1229,Cogn Neuropsychiatry,Cognitive neuropsychiatry,3,589,0.005093
1230,BMC Evol Biol,BMC evolutionary biology,20,3928,0.005092
1231,Allergy Asthma Clin Immunol,"Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology",6,1180,0.005085
1232,Curr Opin Psychiatry,Current opinion in psychiatry,8,1574,0.005083
1233,Neurosci Bull,Neuroscience bulletin,11,2166,0.005078
1234,Endocrinol Metab (Seoul),"Endocrinology and metabolism (Seoul, Korea)",6,1185,0.005063
1235,Folia Biol (Praha),Folia biologica,3,593,0.005059
1236,Bosn J Basic Med Sci,Bosnian journal of basic medical sciences,5,990,0.005051
1237,Tzu Chi Med J,Tzu chi medical journal,3,594,0.005051
1238,Biol Proced Online,Biological procedures online,2,396,0.005051
1239,Diabet Med,Diabetic medicine : a journal of the British Diabetic Association,25,4952,0.005048
1240,Cardiovasc Drugs Ther,Cardiovascular drugs and therapy,9,1786,0.005039
1241,Infect Agent Cancer,Infectious agents and cancer,5,993,0.005035
1242,Clin Transl Med,Clinical and translational medicine,13,2582,0.005035
1243,Plant Dis,Plant disease,43,8575,0.005015
1244,Clin Exp Hepatol,Clinical and experimental hepatology,2,399,0.005013
1245,BMC Rheumatol,BMC rheumatology,3,599,0.005008
1246,BMC Res Notes,BMC research notes,51,10190,0.005005
1247,J Biomed Biotechnol,Journal of biomedicine & biotechnology,8,1600,0.005000
1248,Acta Myol,Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology,2,401,0.004988
1249,Pain Rep,Pain reports,4,804,0.004975
1250,Hepat Oncol,Hepatic oncology,1,201,0.004975
1251,IRB,IRB,1,201,0.004975
1252,Mol Cell,Molecular cell,37,7441,0.004972
1253,Curr Rheumatol Rev,Current rheumatology reviews,3,604,0.004967
1254,Nat Rev Gastroenterol Hepatol,Nature reviews. Gastroenterology & hepatology,14,2819,0.004966
1255,Annu Rev Clin Psychol,Annual review of clinical psychology,2,403,0.004963
1256,Transl Lung Cancer Res,Translational lung cancer research,14,2829,0.004949
1257,Toxicol Res,Toxicological research,4,809,0.004944
1258,Mult Scler Int,Multiple sclerosis international,1,203,0.004926
1259,Pancreatology,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],13,2646,0.004913
1260,Blood Cancer J,Blood cancer journal,10,2038,0.004907
1261,Prostate Int,Prostate international,2,408,0.004902
1262,Semin Cutan Med Surg,Seminars in cutaneous medicine and surgery,3,613,0.004894
1263,Clin Respir J,The clinical respiratory journal,10,2048,0.004883
1264,Eat Weight Disord,Eating and weight disorders : EWD,10,2048,0.004883
1265,J Med Virol,Journal of medical virology,43,8811,0.004880
1266,Oral Health Prev Dent,Oral health & preventive dentistry,6,1231,0.004874
1267,Animal Model Exp Med,Animal models and experimental medicine,3,616,0.004870
1268,Eur Child Adolesc Psychiatry,European child & adolescent psychiatry,15,3082,0.004867
1269,J Biosci,Journal of biosciences,9,1851,0.004862
1270,Am J Nephrol,American journal of nephrology,11,2270,0.004846
1271,BMC Immunol,BMC immunology,6,1240,0.004839
1272,J Psychosom Res,Journal of psychosomatic research,18,3723,0.004835
1273,Adv Cancer Res,Advances in cancer research,3,621,0.004831
1274,J Neurol Neurosurg Psychiatry,"Journal of neurology, neurosurgery, and psychiatry",25,5178,0.004828
1275,Acta Psychiatr Scand,Acta psychiatrica Scandinavica,12,2488,0.004823
1276,Cell Mol Biol (Noisy-le-grand),"Cellular and molecular biology (Noisy-le-Grand, France)",16,3318,0.004822
1277,JAMA Ophthalmol,JAMA ophthalmology,23,4776,0.004816
1278,J Carcinog,Journal of carcinogenesis,1,208,0.004808
1279,Neurosignals,Neuro-Signals,1,208,0.004808
1280,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,39,8128,0.004798
1281,Sci Signal,Science signaling,15,3134,0.004786
1282,Recent Pat Anticancer Drug Discov,Recent patents on anti-cancer drug discovery,3,627,0.004785
1283,J Evid Based Integr Med,Journal of evidence-based integrative medicine,1,209,0.004785
1284,Front Biosci (Landmark Ed),Frontiers in bioscience (Landmark edition),16,3348,0.004779
1285,Cardiol Rev,Cardiology in review,7,1465,0.004778
1286,J Plant Physiol,Journal of plant physiology,18,3770,0.004775
1287,Trends Neurosci,Trends in neurosciences,8,1676,0.004773
1288,JCO Precis Oncol,JCO precision oncology,9,1887,0.004769
1289,Cells,Cells,95,19920,0.004769
1290,Clin Nutr ESPEN,Clinical nutrition ESPEN,14,2938,0.004765
1291,Front Sleep,Frontiers in sleep,1,210,0.004762
1292,Nature,Nature,264,55501,0.004757
1293,Mol Cells,Molecules and cells,11,2313,0.004756
1294,Reprod Sci,"Reproductive sciences (Thousand Oaks, Calif.)",19,3997,0.004754
1295,Curr Opin Neurobiol,Current opinion in neurobiology,12,2525,0.004752
1296,Pediatr Investig,Pediatric investigation,2,421,0.004751
1297,NPJ Precis Oncol,NPJ precision oncology,6,1265,0.004743
1298,Sci Adv,Science advances,85,17955,0.004734
1299,Neuropathol Appl Neurobiol,Neuropathology and applied neurobiology,6,1268,0.004732
1300,Cytokine Growth Factor Rev,Cytokine & growth factor reviews,5,1058,0.004726
1301,Genes Dis,Genes & diseases,8,1694,0.004723
1302,Immunity,Immunity,21,4447,0.004722
1303,J Community Genet,Journal of community genetics,4,848,0.004717
1304,Chin J Dent Res,The Chinese journal of dental research,2,424,0.004717
1305,Gene Expr Patterns,Gene expression patterns : GEP,4,850,0.004706
1306,Ibrain,Ibrain,1,213,0.004695
1307,Immunology,Immunology,14,2984,0.004692
1308,Can J Vet Res,Canadian journal of veterinary research = Revue canadienne de recherche veterinaire,4,853,0.004689
1309,Mucosal Immunol,Mucosal immunology,9,1921,0.004685
1310,Tumour Biol,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,30,6406,0.004683
1311,Exp Suppl,Experientia supplementum (2012),1,214,0.004673
1312,World J Cardiol,World journal of cardiology,6,1286,0.004666
1313,EMBO Mol Med,EMBO molecular medicine,10,2144,0.004664
1314,Vet Sci,Veterinary sciences,20,4291,0.004661
1315,Psychophysiology,Psychophysiology,16,3433,0.004661
1316,Mol Cell Pediatr,Molecular and cellular pediatrics,1,215,0.004651
1317,Comb Chem High Throughput Screen,Combinatorial chemistry & high throughput screening,12,2589,0.004635
1318,J Bone Metab,Journal of bone metabolism,2,432,0.004630
1319,Adv Exp Med Biol,Advances in experimental medicine and biology,80,17285,0.004628
1320,Biol Psychol,Biological psychology,13,2812,0.004623
1321,C R Biol,Comptes rendus biologies,6,1299,0.004619
1322,Transcription,Transcription,2,433,0.004619
1323,AMB Express,AMB Express,10,2167,0.004615
1324,J Infect Dis,The Journal of infectious diseases,57,12359,0.004612
1325,Exp Hematol,Experimental hematology,10,2170,0.004608
1326,High Alt Med Biol,High altitude medicine & biology,5,1085,0.004608
1327,Melanoma Manag,Melanoma management,1,217,0.004608
1328,Curr Drug Metab,Current drug metabolism,8,1738,0.004603
1329,Mitochondrion,Mitochondrion,8,1738,0.004603
1330,Breast Cancer (Dove Med Press),Breast cancer (Dove Medical Press),3,652,0.004601
1331,Adv Neurobiol,Advances in neurobiology,3,653,0.004594
1332,Prostate Cancer Prostatic Dis,Prostate cancer and prostatic diseases,8,1743,0.004590
1333,Environ Epidemiol,"Environmental epidemiology (Philadelphia, Pa.)",2,436,0.004587
1334,Haematologica,Haematologica,36,7864,0.004578
1335,Nephrology (Carlton),"Nephrology (Carlton, Vic.)",14,3059,0.004577
1336,J Geriatr Cardiol,Journal of geriatric cardiology : JGC,7,1531,0.004572
1337,Beijing Da Xue Xue Bao Yi Xue Ban,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,15,3285,0.004566
1338,Discoveries (Craiova),"Discoveries (Craiova, Romania)",1,219,0.004566
1339,J Neurol Sci,Journal of the neurological sciences,40,8761,0.004566
1340,Front Microbiol,Frontiers in microbiology,177,38815,0.004560
1341,Metab Syndr Relat Disord,Metabolic syndrome and related disorders,6,1317,0.004556
1342,Inflamm Res,Inflammation research : official journal of the European Histamine Research Society ... [et al.],11,2415,0.004555
1343,Harv Rev Psychiatry,Harvard review of psychiatry,3,660,0.004545
1344,Curr Med Chem,Current medicinal chemistry,31,6835,0.004535
1345,Mutat Res,Mutation research,13,2867,0.004534
1346,Iran J Psychiatry Behav Sci,Iranian journal of psychiatry and behavioral sciences,1,221,0.004525
1347,J Clin Pract Res,Journal of clinical practice and research,1,221,0.004525
1348,J Thorac Oncol,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,27,5982,0.004514
1349,Clin Exp Ophthalmol,Clinical & experimental ophthalmology,15,3328,0.004507
1350,Curr Opin Oncol,Current opinion in oncology,8,1776,0.004505
1351,Nicotine Tob Res,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,22,4891,0.004498
1352,Endocr J,Endocrine journal,12,2668,0.004498
1353,Int J Biol Sci,International journal of biological sciences,17,3786,0.004490
1354,Perspect Biol Med,Perspectives in biology and medicine,4,891,0.004489
1355,Heart Fail Rev,Heart failure reviews,7,1562,0.004481
1356,Horm Res,Hormone research,2,447,0.004474
1357,Lancet Psychiatry,The lancet. Psychiatry,15,3354,0.004472
1358,J Nutr,The Journal of nutrition,31,6936,0.004469
1359,Mult Scler Relat Disord,Multiple sclerosis and related disorders,23,5151,0.004465
1360,Ann Hum Biol,Annals of human biology,6,1344,0.004464
1361,Nutr Res Pract,Nutrition research and practice,6,1344,0.004464
1362,Zhonghua Shao Shang Yu Chuang Mian Xiu Fu Za Zhi,Zhonghua shao shang yu chuang mian xiu fu za zhi,2,448,0.004464
1363,Br J Haematol,British journal of haematology,48,10757,0.004462
1364,Environ Health,Environmental health : a global access science source,9,2021,0.004453
1365,Diabetes Res Clin Pract,Diabetes research and clinical practice,31,6971,0.004447
1366,Schizophr Bull Open,Schizophrenia bulletin open,1,225,0.004444
1367,Immun Inflamm Dis,"Immunity, inflammation and disease",7,1579,0.004433
1368,Eur J Prev Cardiol,European journal of preventive cardiology,22,4971,0.004426
1369,Virus Evol,Virus evolution,4,904,0.004425
1370,Clin Exp Med,Clinical and experimental medicine,9,2040,0.004412
1371,Neurol Clin,Neurologic clinics,5,1134,0.004409
1372,Int J Environ Health Res,International journal of environmental health research,8,1816,0.004405
1373,Asia Pac J Clin Nutr,Asia Pacific journal of clinical nutrition,9,2049,0.004392
1374,Eur J Clin Nutr,European journal of clinical nutrition,19,4337,0.004381
1375,Respir Investig,Respiratory investigation,6,1371,0.004376
1376,Immunol Cell Biol,Immunology and cell biology,9,2059,0.004371
1377,Arch Med Res,Archives of medical research,9,2066,0.004356
1378,PeerJ,PeerJ,89,20441,0.004354
1379,JHEP Rep,JHEP reports : innovation in hepatology,5,1150,0.004348
1380,J Comput Graph Stat,"Journal of computational and graphical statistics : a joint publication of American Statistical Association, Institute of Mathematical Statistics, Interface Foundation of North America",1,230,0.004348
1381,Clin Exp Nephrol,Clinical and experimental nephrology,12,2762,0.004345
1382,Can J Gastroenterol Hepatol,Canadian journal of gastroenterology & hepatology,4,921,0.004343
1383,NPJ Breast Cancer,NPJ breast cancer,4,922,0.004338
1384,Ann Bot,Annals of botany,19,4390,0.004328
1385,Int Rev Neurobiol,International review of neurobiology,6,1392,0.004310
1386,Can J Psychiatry,Canadian journal of psychiatry. Revue canadienne de psychiatrie,9,2090,0.004306
1387,PLoS Curr,PLoS currents,3,697,0.004304
1388,Forensic Sci Res,Forensic sciences research,2,465,0.004301
1389,Neurotherapeutics,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,9,2093,0.004300
1390,Ann Med,Annals of medicine,16,3723,0.004298
1391,Front Cell Dev Biol,Frontiers in cell and developmental biology,55,12799,0.004297
1392,Prog Neurobiol,Progress in neurobiology,6,1397,0.004295
1393,Int J Biol Markers,The International journal of biological markers,4,933,0.004287
1394,Nat Biotechnol,Nature biotechnology,31,7236,0.004284
1395,Eye Vis (Lond),"Eye and vision (London, England)",2,468,0.004274
1396,Int J Endocrinol Metab,International journal of endocrinology and metabolism,2,468,0.004274
1397,Clin Schizophr Relat Psychoses,Clinical schizophrenia & related psychoses,1,234,0.004274
1398,BJPsych Open,BJPsych open,7,1641,0.004266
1399,Curr Opin Biotechnol,Current opinion in biotechnology,12,2817,0.004260
1400,Clin Biochem Rev,The Clinical biochemist. Reviews,1,235,0.004255
1401,J Glob Health,Journal of global health,11,2587,0.004252
1402,Can J Cardiol,The Canadian journal of cardiology,24,5645,0.004252
1403,J Med Biochem,Journal of medical biochemistry,3,706,0.004249
1404,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,16,3768,0.004246
1405,Mol Cell Biol,Molecular and cellular biology,23,5426,0.004239
1406,F1000Res,F1000Research,30,7080,0.004237
1407,Int J Oral Sci,International journal of oral science,3,710,0.004225
1408,Curr Gastroenterol Rep,Current gastroenterology reports,5,1184,0.004223
1409,Sci Prog,Science progress,8,1895,0.004222
1410,NPJ Biofilms Microbiomes,NPJ biofilms and microbiomes,4,949,0.004215
1411,Semin Perinatol,Seminars in perinatology,6,1430,0.004196
1412,Cancer Res Treat,Cancer research and treatment,8,1910,0.004188
1413,Stud Hist Philos Sci,Studies in history and philosophy of science,4,955,0.004188
1414,Nutr Neurosci,Nutritional neuroscience,6,1433,0.004187
1415,Cells Dev,Cells & development,1,239,0.004184
1416,Front Radiol,Frontiers in radiology,1,239,0.004184
1417,Liver Res,"Liver research (Beijing, China)",1,239,0.004184
1418,Pediatr Res,Pediatric research,31,7414,0.004181
1419,Br J Dermatol,The British journal of dermatology,50,11967,0.004178
1420,Narra J,Narra J,2,479,0.004175
1421,Placenta,Placenta,16,3839,0.004168
1422,F1000 Biol Rep,F1000 biology reports,1,240,0.004167
1423,F1000Prime Rep,F1000prime reports,1,240,0.004167
1424,Inform Med Unlocked,Informatics in medicine unlocked,1,240,0.004167
1425,Exp Biol Med (Maywood),"Experimental biology and medicine (Maywood, N.J.)",14,3367,0.004158
1426,Eur Cardiol,European cardiology,2,481,0.004158
1427,Plant Biotechnol (Tokyo),"Plant biotechnology (Tokyo, Japan)",2,483,0.004141
1428,Trop Anim Health Prod,Tropical animal health and production,24,5801,0.004137
1429,J Clin Neurol,"Journal of clinical neurology (Seoul, Korea)",6,1451,0.004135
1430,Psychiatry Investig,Psychiatry investigation,8,1935,0.004134
1431,Clin Exp Rheumatol,Clinical and experimental rheumatology,26,6290,0.004134
1432,F1000 Med Rep,F1000 medicine reports,1,242,0.004132
1433,CNS Neurol Disord Drug Targets,CNS & neurological disorders drug targets,8,1937,0.004130
1434,Expert Rev Gastroenterol Hepatol,Expert review of gastroenterology & hepatology,8,1938,0.004128
1435,Med Sci Sports Exerc,Medicine and science in sports and exercise,24,5823,0.004122
1436,Clin Invest Med,Clinical and investigative medicine. Medecine clinique et experimentale,3,728,0.004121
1437,Semin Respir Crit Care Med,Seminars in respiratory and critical care medicine,6,1457,0.004118
1438,Cancer Biol Med,Cancer biology & medicine,4,972,0.004115
1439,Epidemiol Rev,Epidemiologic reviews,1,243,0.004115
1440,J Assist Reprod Genet,Journal of assisted reproduction and genetics,19,4620,0.004113
1441,Brain Behav Evol,"Brain, behavior and evolution",3,732,0.004098
1442,J Thromb Thrombolysis,Journal of thrombosis and thrombolysis,13,3182,0.004085
1443,Nephrol Dial Transplant,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",36,8812,0.004085
1444,Cyborg Bionic Syst,"Cyborg and bionic systems (Washington, D.C.)",1,245,0.004082
1445,Clin Sci (Lond),"Clinical science (London, England : 1979)",11,2696,0.004080
1446,Actas Esp Psiquiatr,Actas espanolas de psiquiatria,4,983,0.004069
1447,Patholog Res Int,Pathology research international,1,246,0.004065
1448,Reprod Biol Endocrinol,Reproductive biology and endocrinology : RB&E,10,2461,0.004063
1449,Ther Adv Chronic Dis,Therapeutic advances in chronic disease,3,739,0.004060
1450,Biochim Biophys Acta Mol Cell Biol Lipids,Biochimica et biophysica acta. Molecular and cell biology of lipids,5,1234,0.004052
1451,Blood Adv,Blood advances,23,5683,0.004047
1452,Nat Protoc,Nature protocols,14,3465,0.004040
1453,Nephron Clin Pract,Nephron. Clinical practice,4,991,0.004036
1454,Trends Parasitol,Trends in parasitology,9,2231,0.004034
1455,J Endocrinol Invest,Journal of endocrinological investigation,17,4217,0.004031
1456,Am J Mens Health,American journal of men's health,7,1737,0.004030
1457,Heart Rhythm,Heart rhythm,32,7942,0.004029
1458,Can J Gastroenterol,Canadian journal of gastroenterology = Journal canadien de gastroenterologie,3,745,0.004027
1459,World J Oncol,World journal of oncology,3,745,0.004027
1460,STAR Protoc,STAR protocols,17,4233,0.004016
1461,Chromosoma,Chromosoma,3,748,0.004011
1462,Exp Clin Endocrinol Diabetes,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association",8,1996,0.004008
1463,Philos Trans R Soc Lond B Biol Sci,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",29,7258,0.003996
1464,Clin Exp Immunol,Clinical and experimental immunology,14,3509,0.003990
1465,BMC Womens Health,BMC women's health,18,4513,0.003988
1466,Curr Neuropharmacol,Current neuropharmacology,7,1756,0.003986
1467,Biomed J,Biomedical journal,4,1004,0.003984
1468,Biophys Rep,Biophysics reports,1,251,0.003984
1469,Lancet Diabetes Endocrinol,The lancet. Diabetes & endocrinology,11,2769,0.003973
1470,Inflamm Intest Dis,Inflammatory intestinal diseases,1,252,0.003968
1471,Expert Rev Neurother,Expert review of neurotherapeutics,10,2522,0.003965
1472,BMC Ecol Evol,BMC ecology and evolution,3,757,0.003963
1473,Adv Biol (Weinh),Advanced biology,3,758,0.003958
1474,BMJ Open Respir Res,BMJ open respiratory research,5,1264,0.003956
1475,Lancet Microbe,The Lancet. Microbe,5,1264,0.003956
1476,G Ital Dermatol Venereol,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia",6,1519,0.003950
1477,Pathobiology,"Pathobiology : journal of immunopathology, molecular and cellular biology",3,762,0.003937
1478,Methods Mol Med,Methods in molecular medicine,1,254,0.003937
1479,Mol Gen Mikrobiol Virusol,"Molekuliarnaia genetika, mikrobiologiia i virusologiia",1,254,0.003937
1480,Nagoya J Med Sci,Nagoya journal of medical science,4,1017,0.003933
1481,Neuroinformatics,Neuroinformatics,3,763,0.003932
1482,Front Vet Sci,Frontiers in veterinary science,46,11732,0.003921
1483,Urol Oncol,Urologic oncology,18,4600,0.003913
1484,Hematol Oncol Clin North Am,Hematology/oncology clinics of North America,6,1536,0.003906
1485,Diagn Mol Pathol,"Diagnostic molecular pathology : the American journal of surgical pathology, part B",1,256,0.003906
1486,Endokrynol Pol,Endokrynologia Polska,6,1538,0.003901
1487,DNA Repair (Amst),DNA repair,10,2565,0.003899
1488,Psychoneuroendocrinology,Psychoneuroendocrinology,19,4875,0.003897
1489,Horm Metab Res,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,10,2566,0.003897
1490,Curr Diabetes Rev,Current diabetes reviews,5,1283,0.003897
1491,Stem Cell Reports,Stem cell reports,10,2570,0.003891
1492,World J Pediatr Surg,World journal of pediatric surgery,1,257,0.003891
1493,Prog Orthod,Progress in orthodontics,3,772,0.003886
1494,Expert Rev Proteomics,Expert review of proteomics,5,1287,0.003885
1495,Future Oncol,"Future oncology (London, England)",20,5154,0.003880
1496,Seishin Shinkeigaku Zasshi,Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica,5,1289,0.003879
1497,Immunol Allergy Clin North Am,Immunology and allergy clinics of North America,4,1034,0.003868
1498,Biomolecules,Biomolecules,48,12411,0.003868
1499,J Neurol,Journal of neurology,36,9310,0.003867
1500,Expert Opin Ther Targets,Expert opinion on therapeutic targets,8,2069,0.003867
1501,J Clin Hypertens (Greenwich),"Journal of clinical hypertension (Greenwich, Conn.)",15,3882,0.003864
1502,Hepatol Res,Hepatology research : the official journal of the Japan Society of Hepatology,12,3109,0.003860
1503,Immunol Lett,Immunology letters,10,2600,0.003846
1504,Parasite Immunol,Parasite immunology,5,1300,0.003846
1505,Acta Naturae,Acta naturae,3,780,0.003846
1506,Signal Transduct Target Ther,Signal transduction and targeted therapy,10,2602,0.003843
1507,Glob Cardiol Sci Pract,Global cardiology science & practice,2,522,0.003831
