rank_volume,journal_key,full_title,gwas_hits,total_articles,fraction_gwas,meets_min_total
6713,Brain-X,Brain-X,0,1,0.000000,N
6714,Brainlesion,"Brainlesion : glioma, multiple sclerosis, stroke and traumatic brain injuries. BrainLes (Workshop)",0,22,0.000000,N
6715,Brains Minds Media,"Brains, minds & media : journal of new media in neural and cognitive science and education",0,2,0.000000,N
6716,Braz Dent J,Brazilian dental journal,0,1741,0.000000,Y
6717,Braz Dent Sci,Brazilian dental science,0,4,0.000000,N
6718,Braz J Anesthesiol,Brazilian journal of anesthesiology (Elsevier),0,1441,0.000000,Y
6719,Braz J Biol,Brazilian journal of biology = Revista brasleira de biologia,0,4112,0.000000,Y
6720,Braz J Biom,Brazilian journal of biometrics,0,1,0.000000,N
6721,Braz J Cardiovasc Surg,Brazilian journal of cardiovascular surgery,0,1313,0.000000,Y
6722,Braz J Infect Dis,The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases,0,2019,0.000000,Y
6723,Braz J Med Biol Res,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologica,0,2969,0.000000,Y
6724,Braz J Microbiol,Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],0,3653,0.000000,Y
6725,Braz J Mot Behav,Brazilian journal of motor behavior,0,1,0.000000,N
6726,Braz J Oral Sci,Brazilian journal of oral sciences,0,2,0.000000,N
6727,Braz J Phys,Brazilian journal of physics,0,1,0.000000,N
6728,Braz J Phys Ther,Brazilian journal of physical therapy,0,923,0.000000,Y
6729,Braz J Probab Stat,Brazilian journal of probability and statistics,0,1,0.000000,N
6730,Braz J Vet Med,Brazilian journal of veterinary medicine,0,185,0.000000,Y
6731,Braz Oral Res,Brazilian oral research,0,2101,0.000000,Y
6732,Breast Cancer Manag,Breast cancer management,0,16,0.000000,N
6733,Breast Imaging (2012),"Breast imaging : 11th International Workshop, IWDM 2012, Philadelphia, PA, USA, July 8-11, 2012 : proceedings. International Workshop on Breast Imaging (11th : 2012 : Philadelphia, Pa.)",0,3,0.000000,N
6734,Breast Imaging (2016),"Breast imaging : 13th International Workshop, IWDM 2016, Malmo, Sweden, June 19-22, 2016 : proceedings. International Workshop on Breast Imaging (13th : 2016 : Malmo, Sweden)",0,1,0.000000,N
6735,Breastfeed Rev,Breastfeeding review : professional publication of the Nursing Mothers' Association of Australia,0,133,0.000000,Y
6736,Bridge (Kans City),The Bridge,0,2,0.000000,N
6737,Bridge (Wash D C),"Bridge (Washington, D.C. : 1969)",0,5,0.000000,N
6738,Brittonia,Brittonia,0,2,0.000000,N
6739,Brookings Pap Econ Act,Brookings papers on economic activity,0,4,0.000000,N
6740,Brooklyn Law Rev,Brooklyn law review,0,2,0.000000,N
6741,Brown J Hosp Med,The Brown journal of hospital medicine,0,92,0.000000,Y
6742,Brown Univ Child Adolesc Behav Let,Brown University child and adolescent behavior letter,0,18,0.000000,N
6743,Brown Univ Dig Addict Theory Appl,Brown University digest of addiction theory and application : DATA,0,1,0.000000,N
6744,Bryophyt Divers Evol,Bryophyte diversity and evolution,0,1,0.000000,N
6745,Bubble Sci Eng Technol,Bubble science engineering and technology,0,6,0.000000,N
6746,Build Cities,Buildings & cities,0,7,0.000000,N
6747,Build Environ,Building and environment,0,278,0.000000,Y
6748,Build Healthy Acad Communities J,Building healthy academic communities journal,0,1,0.000000,N
6749,Build Serv Eng Res Technol,Building services engineering research & technology : BSER & T,0,9,0.000000,N
6750,Build Simul,Building simulation,0,71,0.000000,Y
6751,BuildSys15 (2015),"BuildSys'15 : proceedings of the 2nd ACM International Conference on Embedded Systems for Energy-Efficient Buildings : November 4-5, 2015, Seoul, South Korea. ACM Conference on Embedded Systems for Energy-Efficient Buildings (2nd : 2015...",0,1,0.000000,N
6752,Buildings (Basel),"Buildings (Basel, Switzerland)",0,6,0.000000,N
6753,Built Herit,Built heritage,0,12,0.000000,N
6754,Bul Inst Politeh Lasi Sect Stiinte Socio Umane,Buletinul Institutului Politehnic din Iasi : Sectia Stiinte socio-umane,0,1,0.000000,N
6755,Bull Acad Vet Fr,Bulletin de l'Academie veterinaire de France,0,1,0.000000,N
6756,Bull Am Coll Surg,Bulletin of the American College of Surgeons,0,1541,0.000000,Y
6757,Bull Am Meteorol Soc,Bulletin of the American Meteorological Society,0,34,0.000000,N
6758,Bull Am Soc Papyrol,The Bulletin of the American Society of Papyrologists. American Society of Papyrologists,0,1,0.000000,N
6759,Bull Anesth Hist,Bulletin of anesthesia history,0,51,0.000000,Y
6760,Bull Appl Transgend Stud,Bulletin of applied transgender studies,0,2,0.000000,N
6761,Bull At Sci,The Bulletin of the atomic scientists,0,5,0.000000,N
6762,Bull Atmos Sci Technol,Bulletin of atmospheric science and technology,0,8,0.000000,N
6763,Bull Braz Math Soc,Bulletin of the Brazilian Mathematical Society = Boletim da Sociedade Brasileira de Matematica,0,1,0.000000,N
6764,Bull Cercle Benelux Hist Pharm,Bulletin - Cercle Benelux d'histoire de la pharmacie,0,25,0.000000,N
6765,Bull Chem Soc Ethiop,Bulletin of the Chemical Society of Ethiopia,0,1,0.000000,N
6766,Bull Chem Soc Jpn,Bulletin of the Chemical Society of Japan,0,4,0.000000,N
6767,Bull Earthq Eng,Bulletin of earthquake engineering,0,16,0.000000,N
6768,Bull Ecol Soc Am,Bulletin of the Ecological Society of America,0,3,0.000000,N
6769,Bull Econ Res,Bulletin of economic research,0,5,0.000000,N
6770,Bull Emerg Trauma,Bulletin of emergency and trauma,0,549,0.000000,Y
6771,Bull Eng Geol Environ,Bulletin of engineering geology and the environment,0,7,0.000000,N
6772,Bull Entomol Res,Bulletin of entomological research,0,1578,0.000000,Y
6773,Bull Epidemiol Hebd (Paris),"Bulletin epidemiologique hebdomadaire (Paris, France)",0,1,0.000000,N
6774,Bull Geosci,Bulletin of geosciences,0,1,0.000000,N
6775,Bull Group Int Rech Sci Stomatol Odontol,Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie,0,99,0.000000,Y
6776,Bull Hist Chem,Bulletin for the history of chemistry,0,16,0.000000,N
6777,Bull Hist Med,Bulletin of the history of medicine,0,448,0.000000,Y
6778,Bull Hosp Jt Dis (2013),Bulletin of the Hospital for Joint Disease (2013),0,599,0.000000,Y
6779,Bull IACFS ME,Bulletin of the IACFS/ME,0,2,0.000000,N
6780,Bull Indian Inst Hist Med Hyderabad,Bulletin of the Indian Institute of History of Medicine (Hyderabad),0,12,0.000000,N
6781,Bull Iran Math Soc,Bulletin of the Iranian Mathematical Society,0,1,0.000000,N
6782,Bull Jpn Soc Coord Chem,Bulletin of Japan Society of Coordination Chemistry,0,4,0.000000,N
6783,Bull Korean Chem Soc,Bulletin of the Korean Chemical Society,0,10,0.000000,N
6784,Bull Lat Am Res,Bulletin of Latin American research,0,13,0.000000,N
6785,Bull Lond Math Soc,The bulletin of the London Mathematical Society,0,8,0.000000,N
6786,Bull Malays Math Sci Soc,Bulletin of the Malaysian Mathematical Sciences Society,0,7,0.000000,N
6787,Bull Math Biol,Bulletin of mathematical biology,0,2438,0.000000,Y
6788,Bull Math Sci,Bulletin of mathematical sciences,0,2,0.000000,N
6789,Bull Menninger Clin,Bulletin of the Menninger Clinic,0,360,0.000000,Y
6790,Bull Methodol Sociol,Bulletin de methodologie sociologique : BMS,0,2,0.000000,N
6791,Bull Narc,Bulletin on narcotics,0,1,0.000000,N
6792,Bull Natl Res Cent,Bulletin of the National Research Centre,0,108,0.000000,Y
6793,Bull Pharm Sci,Bulletin of pharmaceutical sciences,0,1,0.000000,N
6794,Bull Sci Instrum Soc,Bulletin of the Scientific Instrument Society,0,1,0.000000,N
6795,Bull Sci Technol Soc,"Bulletin of science, technology & society",0,7,0.000000,N
6796,Bull Seismol Soc Am,The bulletin of the Seismological Society of America : BSSA,0,3,0.000000,N
6797,Bull Soc Belge Ophtalmol,Bulletin de la Societe belge d'ophtalmologie,0,212,0.000000,Y
6798,Bull Soc Pathol Exot,Bulletin de la Societe de pathologie exotique (1990),0,799,0.000000,Y
6799,Bull Soc Zool Fr,Bulletin de la Societe zoologique de France,0,3,0.000000,N
6800,Bull South Calif Acad Sci,Bulletin (Southern California Academy of Sciences),0,1,0.000000,N
6801,Bull Tech Comm Data Eng,Bulletin of the Technical Committee on Data Engineering,0,1,0.000000,N
6802,Bull Tokyo Dent Coll,The Bulletin of Tokyo Dental College,0,485,0.000000,Y
6803,Bull Volcanol,Bulletin of volcanology,0,66,0.000000,Y
6804,Bull World Health Organ,Bulletin of the World Health Organization,0,3348,0.000000,Y
6805,Burn Res,Burnout research,0,3,0.000000,N
6806,Burns Open,Burns open : an international open access journal for burn injuries,0,13,0.000000,N
6807,Bus Econ,"Business economics (Cleveland, Ohio)",0,38,0.000000,N
6808,Bus Econ J,Business and economics journal,0,1,0.000000,N
6809,Bus Ethics,"Business ethics (Oxford, England)",0,1,0.000000,N
6810,Bus Hist,Business history,0,6,0.000000,N
6811,Bus Horiz,Business horizons,0,21,0.000000,N
6812,Bus Polit,Business and politics,0,1,0.000000,N
6813,Bus Rules J,Business rules journal,0,2,0.000000,N
6814,Bus Soc,Business and society,0,7,0.000000,N
6815,Bus Strategy Environ,Business strategy and the environment,0,8,0.000000,N
6816,Byzantion,Byzantion; revue internationale des etudes byzantines,0,1,0.000000,N
6817,C (Basel),C,0,1,0.000000,N
6818,C R Acad Bulg Sci,Comptes rendus de l'Academie Bulgare des sciences : sciences mathematiques et naturelles,0,2,0.000000,N
6819,C R Chim,Comptes rendus. Chimie (Print),0,7,0.000000,N
6820,C R Math,Comptes rendus mathematique,0,1,0.000000,N
6821,C R Phys,Comptes rendus. Physique,0,2,0.000000,N
6822,CA Cancer J Clin,CA: a cancer journal for clinicians,0,760,0.000000,Y
6823,CAAI Trans Intell Technol,CAAI Transactions on Intelligence Technology,0,3,0.000000,N
6824,CAB Rev,"CAB reviews : perspectives in agriculture, veterinary science, nutrition and natural resources",0,1,0.000000,N
6825,CABI Agric Biosci,CABI agriculture and bioscience,0,21,0.000000,N
6826,CABI One Health,CABI one health,0,1,0.000000,N
6827,CADTH Technol Overv,CADTH technology overviews,0,42,0.000000,N
6828,CAIS Fac Newsl,CAIS faculty newsletter,0,1,0.000000,N
6829,CALPHAD,CALPHAD ; computer coupling of phase diagrams and thermochemistry,0,6,0.000000,N
6830,CANNT J,CANNT journal = Journal ACITN,0,194,0.000000,Y
6831,CASE (Phila),"CASE (Philadelphia, Pa.)",0,824,0.000000,Y
6832,CBE Life Sci Educ,CBE life sciences education,0,1363,0.000000,Y
6833,CCF Trans High Perform Comput,CCF transactions on high performance computing,0,2,0.000000,N
6834,CCS Chem,CCS chemistry,0,4,0.000000,N
6835,CDS Rev,CDS review,0,550,0.000000,Y
6836,CEA13 (2013),"CEA'13 : proceedings of the 5th International Workshop on Multimedia for Cooking & Eating Activities : October 21, 2013, Barcelona, Spain. Workshop on Multimedia for Cooking and Eating Activities (5th : 2013 : Barcelona, Spain)",0,1,0.000000,N
6837,CEAS Aeronaut J,CEAS aeronautical journal,0,17,0.000000,N
6838,CEAS Space J,CEAS space journal,0,5,0.000000,N
6839,CEN Case Rep,CEN case reports,0,1049,0.000000,Y
6840,CERN Ideasq J Exp Innov,CERN ideaSquare journal of experimental innovation,0,1,0.000000,N
6841,CES4healthinfo,CES4Health.info,0,3,0.000000,N
6842,CESifo Econ Stud,CESifo economic studies,0,7,0.000000,N
6843,CEUR Workshop Proc,CEUR workshop proceedings,0,45,0.000000,N
6844,CFW Plex,CFW plexus,0,1,0.000000,N
6845,CHEST Crit Care,CHEST critical care,0,60,0.000000,Y
6846,CHEST Pulm,CHEST pulmonary,0,36,0.000000,N
6847,CIM14 Conf Interdiscip Musicol (2014),"CIM14, Conference on Interdisciplinary Musicology : proceedings. Conference on Interdisciplinary Musicology (9th : 2014 : Berlin, Germany)",0,1,0.000000,N
6848,CIRP Ann Manuf Technol,CIRP annals ... manufacturing technology,0,9,0.000000,N
6849,CIRP J Manuf Sci Technol,CIRP journal of manufacturing science and technology,0,2,0.000000,N
6850,CJC Pediatr Congenit Heart Dis,CJC pediatric and congenital heart disease,0,190,0.000000,Y
6851,CJEM,CJEM,0,2463,0.000000,Y
6852,CLR James J,The CLR James journal,0,1,0.000000,N
6853,CMAJ Open,CMAJ open,0,1064,0.000000,Y
6854,CME (Berl),"CME (Berlin, Germany)",0,171,0.000000,Y
6855,CME J Clin Case Rep,CME journal of clinical case reports,0,2,0.000000,N
6856,CME J Geriatr Med,CME journal. Geriatric medicine,0,1,0.000000,N
6857,CNS Drug Rev,CNS drug reviews,0,26,0.000000,N
6858,CODASPY,CODASPY : proceedings of the ... ACM conference on data and application security and privacy. ACM Conference on Data and Application Security & Privacy,0,5,0.000000,N
6859,COJ Biomed Sci Res,COJ biomedical science & research,0,1,0.000000,N
6860,COVID,COVID,0,7,0.000000,N
6861,CPQ Neurol Psychol,CPQ neurology and psychology,0,2,0.000000,N
6862,CPT Pharmacometrics Syst Pharmacol,CPT: pharmacometrics & systems pharmacology,0,1545,0.000000,Y
6863,CRC Crit Rev Plant Sci,Critical reviews in plant sciences,0,5,0.000000,N
6864,CRSLS,CRSLS : MIS case reports from SLS,0,66,0.000000,Y
6865,CSA J (Denver),"CSA journal (Denver, Colo.)",0,1,0.000000,N
6866,CSCW 20 Companion (2020),"CSCW '20 Companion : conference companion publication of the 2020 Conference on Computer Supported Cooperative Work and Social Computing : October 17-21, 2020, Virtual Event, USA. Conference on Computer-Supported Cooperative Work and So...",0,1,0.000000,N
6867,CSCW Conf Comput Support Coop Work,CSCW : proceedings of the Conference on Computer-Supported Cooperative Work. Conference on Computer-Supported Cooperative Work,0,19,0.000000,N
6868,CSU Geospat Rev,CSU geospatial review : geographic information science in the California state university system,0,1,0.000000,N
6869,CT Li Lun Yu Ying Yong Yan Jiu,CT Li lun yu ying yong yan jiu,0,1,0.000000,N
6870,CTE J,The CTE journal,0,1,0.000000,N
6871,CTWatch Q,CTWatch quarterly : cyberinfrastructure technology watch,0,1,0.000000,N
6872,CURQ Web,CURQ on the Web,0,1,0.000000,N
6873,CVD Prev Control,CVD prevention and control,0,5,0.000000,N
6874,CVIR Endovasc,CVIR endovascular,0,621,0.000000,Y
6875,CVIR Oncol,CVIR oncology,0,2,0.000000,N
6876,CW360,CW360,0,1,0.000000,N
6877,Cad Iberoam Direito Sanit,Cadernos ibero-americanos de direito sanitario = Cuadernos iberoamericanos de derecho sanitario,0,1,0.000000,N
6878,Cad Saude Colet,Cadernos saude coletiva,0,2,0.000000,N
6879,Cad Saude Publica,Cadernos de saude publica,0,5408,0.000000,Y
6880,Cah Annee Gerontol,Les cahiers de L'annee gerontologique,0,1,0.000000,N
6881,Cah Etud Hong Finl,Cahiers d'etudes hongroises et finlandaises,0,1,0.000000,N
6882,Cah Que Demogr,Cahiers quebecois de demographie,0,1,0.000000,N
6883,Cah Sociol Demogr Med,Cahiers de sociologie et de demographie medicales,0,77,0.000000,Y
6884,Cal J Emerg Med,The California journal of emergency medicine,0,8,0.000000,N
6885,Calabar J Health Sci,Calabar journal of health sciences,0,1,0.000000,N
6886,Calc Var Partial Differ Equ,Calculus of variations and partial differential equations,0,59,0.000000,Y
6887,Calcium Signal (St Clara),"Calcium signaling (Santa Clara, Calif.)",0,1,0.000000,N
6888,Calcolo,Calcolo,0,8,0.000000,N
6889,Calif Agric (Berkeley),California agriculture,0,1,0.000000,N
6890,Calif J Health Promot,Californian journal of health promotion,0,47,0.000000,N
6891,Calif J Health Syst Pharm,The California journal of health-system pharmacy : CJHP,0,1,0.000000,N
6892,Calif J Politics Policy,California journal of politics and policy,0,2,0.000000,N
6893,Calif Law Rev,California law review,0,1,0.000000,N
6894,Camb Anthropol,"Cambridge anthropology : a journal of the Department of Social Anthropology, Cambridge University",0,1,0.000000,N
6895,Camb Int Law J,Cambridge international law journal,0,1,0.000000,N
6896,Camb J Reg Econ Soc,"Cambridge journal of regions, economy and society",0,5,0.000000,N
6897,Camb Law J,The Cambridge law journal,0,1,0.000000,N
6898,Camb Prism Coast Futur,Cambridge prisms. Coastal futures,0,59,0.000000,Y
6899,Camb Prism Extinct,Cambridge prisms. Extinction,0,63,0.000000,Y
6900,Camb Prism Water,Cambridge prisms. Water,0,1,0.000000,N
6901,Camb Q Healthc Ethics,Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees,0,1223,0.000000,Y
6902,Camb Rev Int Aff,Cambridge review of international affairs,0,1,0.000000,N
6903,Cambios Rev Med,Cambios revista medica,0,1,0.000000,N
6904,Campbell Syst Rev,Campbell systematic reviews,0,517,0.000000,Y
6905,Can Acoust,Canadian acoustics = Acoustique canadienne,0,3,0.000000,N
6906,Can Assoc Radiol J,Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,0,1458,0.000000,Y
6907,Can Bull Med Hist,Canadian bulletin of medical history = Bulletin canadien d'histoire de la medecine,0,305,0.000000,Y
6908,Can Chem Trans,Canadian chemical transactions,0,1,0.000000,N
6909,Can Commun Dis Rep,Canada communicable disease report = Releve des maladies transmissibles au Canada,0,825,0.000000,Y
6910,Can Entomol,The Canadian entomologist,0,1,0.000000,N
6911,Can Ethn Stud,Canadian ethnic studies,0,7,0.000000,N
6912,Can Fam Physician,Canadian family physician Medecin de famille canadien,0,5495,0.000000,Y
6913,Can Geogr,The Canadian geographer. Geographe canadien,0,9,0.000000,N
6914,Can Geriatr J,Canadian geriatrics journal : CGJ,0,410,0.000000,Y
6915,Can Hist Rev,The Canadian historical review,0,9,0.000000,N
6916,Can Hum Rights Yearb,Canadian human rights yearbook = Annuaire canadien des droits de la personne,0,1,0.000000,N
6917,Can J Addict,The Canadian journal of addiction,0,16,0.000000,N
6918,Can J Afr Stud,Canadian journal of African studies,0,2,0.000000,N
6919,Can J Aging,Canadian journal on aging = La revue canadienne du vieillissement,0,908,0.000000,Y
6920,Can J Anaesth,Canadian journal of anaesthesia = Journal canadien d'anesthesie,0,4169,0.000000,Y
6921,Can J Behav Sci,Canadian journal of behavioural science. Revue canadienne des sciences du comportement,0,3,0.000000,N
6922,Can J Bioeth,Canadian journal of bioethics = revue canadienne de bioethique,0,1,0.000000,N
6923,Can J Cardiovasc Nurs,Canadian journal of cardiovascular nursing = Journal canadien en soins infirmiers cardio-vasculaires,0,142,0.000000,Y
6924,Can J Chem,Canadian journal of chemistry,0,16,0.000000,N
6925,Can J Chem Eng,The Canadian journal of chemical engineering,0,7,0.000000,N
6926,Can J Clin Pharmacol,The Canadian journal of clinical pharmacology = Journal canadien de pharmacologie clinique,0,120,0.000000,Y
6927,Can J Commun Ment Health,Canadian journal of community mental health = Revue canadienne de sante mentale communautaire,0,3,0.000000,N
6928,Can J Crit Care Nurs,The Canadian journal of critical care nursing,0,24,0.000000,N
6929,Can J Dent Hyg,Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiene dentaire : JCHD,0,150,0.000000,Y
6930,Can J Diet Pract Res,Canadian journal of dietetic practice and research : a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en dietetique : une publication des Dietetistes du Canada,0,731,0.000000,Y
6931,Can J Econ,The Canadian journal of economics. Revue canadienne d'economique,0,23,0.000000,N
6932,Can J Exp Psychol,Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale,0,585,0.000000,Y
6933,Can J Fish Aquat Sci,Canadian journal of fisheries and aquatic sciences. Journal canadien des sciences halieutiques et aquatiques,0,7,0.000000,N
6934,Can J For Res,Canadian journal of forest research. Journal canadien de la recherche forestiere,0,4,0.000000,N
6935,Can J Health Hist,Canadian journal of health history = Revue canadienne d'histoire de la sante,0,36,0.000000,N
6936,Can J Hosp Pharm,The Canadian journal of hospital pharmacy,0,1339,0.000000,Y
6937,Can J Hum Sex,The Canadian journal of human sexuality,0,10,0.000000,N
6938,Can J Infect Control,The Canadian journal of infection control : the official journal of the Community & Hospital Infection Control Association-Canada = Revue canadienne de prevention des infections,0,45,0.000000,N
6939,Can J Linguist,Canadian journal of linguistics. La revue canadienne de linguistique,0,2,0.000000,N
6940,Can J Neurosci Nurs,Canadian journal of neuroscience nursing,0,88,0.000000,Y
6941,Can J Nurs Res,The Canadian journal of nursing research = Revue canadienne de recherche en sciences infirmieres,0,724,0.000000,Y
6942,Can J Occup Ther,Canadian journal of occupational therapy. Revue canadienne d'ergotherapie,0,722,0.000000,Y
6943,Can J Pain,Canadian journal of pain = Revue canadienne de la douleur,0,271,0.000000,Y
6944,Can J Philos,Canadian journal of philosophy,0,2,0.000000,N
6945,Can J Plant Sci,Canadian journal of plant science. Revue canadienne de phytotechnie,0,1,0.000000,N
6946,Can J Plast Surg,The Canadian journal of plastic surgery = Journal canadien de chirurgie plastique,0,331,0.000000,Y
6947,Can J Program Eval,The Canadian journal of program evaluation = La Revue canadienne d'evaluation de programme,0,5,0.000000,N
6948,Can J Public Health,Canadian journal of public health = Revue canadienne de sante publique,0,2421,0.000000,Y
6949,Can J Respir Crit Care Sleep Med,"Canadian journal of respiratory, critical care, and sleep medicine",0,3,0.000000,N
6950,Can J Respir Ther,Canadian journal of respiratory therapy : CJRT = Revue canadienne de la therapie respiratoire : RCTR,0,302,0.000000,Y
6951,Can J Rural Med,Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada,0,570,0.000000,Y
6952,Can J Sch Psychol,Canadian journal of school psychology,0,14,0.000000,N
6953,Can J Sci Math and Technol Educ,"Canadian journal of science, mathematics and technology education = Revue canadienne de l'enseignement des sciences, des mathematiques et de la technologie",0,49,0.000000,N
6954,Can J Speech Lang Pathol Audiol,Canadian journal of speech-language pathology and audiology : CJSLPA = Revue canadienne d'orthophonie et d'audiologie : RCOA,0,1,0.000000,N
6955,Can J Surg,Canadian journal of surgery. Journal canadien de chirurgie,0,2011,0.000000,Y
6956,Can J Zool,Canadian journal of zoology,0,6,0.000000,N
6957,Can Liver J,Canadian liver journal,0,270,0.000000,Y
6958,Can Med Educ J,Canadian medical education journal,0,1088,0.000000,Y
6959,Can Mod Lang Rev,The Canadian modern language review = La revue canadienne des langues vivantes,0,1,0.000000,N
6960,Can Nurse,The Canadian nurse,0,810,0.000000,Y
6961,Can Oncol Nurs J,Canadian oncology nursing journal = Revue canadienne de nursing oncologique,0,827,0.000000,Y
6962,Can Oper Room Nurs J,Canadian operating room nursing journal,0,45,0.000000,N
6963,Can Pharm J (Ott),Canadian pharmacists journal : CPJ = Revue des pharmaciens du Canada : RPC,0,1025,0.000000,Y
6964,Can Prosthet Orthot J,Canadian prosthetics & orthotics journal,0,113,0.000000,Y
6965,Can Psychol,Canadian psychology = Psychologie canadienne,0,6,0.000000,N
6966,Can Public Adm,Canadian public administration : Administration publique du Canada,0,11,0.000000,N
6967,Can Public Policy,Canadian public policy. Analyse de politiques,0,66,0.000000,Y
6968,Can Rev Am Stud,Canadian review of American studies,0,3,0.000000,N
6969,Can Rev Sociol,Canadian review of sociology = Revue canadienne de sociologie,0,454,0.000000,Y
6970,Can Rev Sociol Anthropol,The Canadian review of sociology and anthropology. La Revue canadienne de sociologie et d'anthropologie,0,1,0.000000,N
6971,Can Stud Popul,Canadian studies in population,0,15,0.000000,N
6972,Can Urol Assoc J,Canadian Urological Association journal = Journal de l'Association des urologues du Canada,0,3760,0.000000,Y
6973,Can Vet J,The Canadian veterinary journal = La revue veterinaire canadienne,0,3659,0.000000,Y
6974,Canadi J Aborig Community Based HIV/AIDS Res,Canadian journal of Aboriginal community-based HIV/AIDS research,0,4,0.000000,N
6975,Cancer Care Res Online,Cancer care research online,0,9,0.000000,N
6976,Cancer Cell Microenviron,Cancer cell & microenvironment,0,30,0.000000,N
6977,Cancer Clin Oncol,Cancer and clinical oncology,0,10,0.000000,N
6978,Cancer Control (Woodbridge),"Cancer control (Woodbridge, Suffolk, England)",0,1,0.000000,N
6979,Cancer Converg,Cancer convergence,0,7,0.000000,N
6980,Cancer Detect Prev,Cancer detection and prevention,0,137,0.000000,Y
6981,Cancer Diagn Progn,Cancer diagnosis & prognosis,0,518,0.000000,Y
6982,Cancer Forum,Cancer forum,0,1,0.000000,N
6983,Cancer Growth Metastasis,Cancer growth and metastasis,0,42,0.000000,N
6984,Cancer Hallm,Cancer hallmarks,0,3,0.000000,N
6985,Cancer Health Disparities,Cancer health disparities,0,23,0.000000,N
6986,Cancer Heterog Plast,Cancer heterogeneity and plasticity,0,11,0.000000,N
6987,Cancer Imaging,Cancer imaging : the official publication of the International Cancer Imaging Society,0,1350,0.000000,Y
6988,Cancer Immun,Cancer immunity,0,94,0.000000,Y
6989,Cancer Med J,Cancer medicine journal,0,28,0.000000,N
6990,Cancer Microenviron,Cancer microenvironment : official journal of the International Cancer Microenvironment Society,0,226,0.000000,Y
6991,Cancer Nanotechnol,Cancer nanotechnology,0,101,0.000000,Y
6992,Cancer Nurs,Cancer nursing,0,2073,0.000000,Y
6993,Cancer Prev Detect Interv (2024),"Cancer prevention, detection, and intervention : Third MICCAI Workshop, CaPTion 2024, Held in Conjunction with MICCAI 2024, Marrakesh, Morocco, October 6, 2024, Proceedings. CaPTion (Workshop) (3rd : 2024 : Marrakech, Morocco)",0,1,0.000000,N
6994,Cancer Rep,Cancer reports,0,1,0.000000,N
6995,Cancer Rep Rev,Cancer reports and reviews,0,5,0.000000,N
6996,Cancer Res Front,Cancer research frontiers,0,3,0.000000,N
6997,Cancer Res J,Cancer research journal,0,1,0.000000,N
6998,Cancer Res J (N Y N Y),Cancer research journal,0,2,0.000000,N
6999,Cancer Res Rep,Cancer research and reports,0,1,0.000000,N
7000,Cancer Res Stat Treat,"Cancer research, statistics, and treatment",0,2,0.000000,N
7001,Cancer Screen Prev,Cancer screening and prevention,0,1,0.000000,N
7002,Cancer Stud Mol Med,Cancer studies and molecular medicine : open journal,0,4,0.000000,N
7003,Cancer Stud Ther,Cancer studies and therapeutics,0,4,0.000000,N
7004,Cancer Surviv Res Care,Cancer survivorship research & care,0,3,0.000000,N
7005,Cancer Ther,Cancer therapy,0,15,0.000000,N
7006,Cancer Ther Oncol Int J,Cancer therapy & oncology international journal,0,1,0.000000,N
7007,Cancer Transl Med,Cancer translational medicine,0,8,0.000000,N
7008,Cancer Treat Commun,Cancer treatment communications,0,9,0.000000,N
7009,Cancers Head Neck,Cancers of the head & neck,0,55,0.000000,Y
7010,Candollea,Candollea,0,2,0.000000,N
7011,Cannabis,"Cannabis (Albuquerque, N.M.)",0,144,0.000000,Y
7012,Cannabis Cannabinoid Res,Cannabis and cannabinoid research,0,700,0.000000,Y
7013,Cap Class,Capital & class,0,3,0.000000,N
7014,Capitation Rates Data,Capitation rates & data,0,61,0.000000,Y
7015,Carbohydr Chem,Carbohydrate chemistry,0,1,0.000000,N
7016,Carbon Balance Manag,Carbon balance and management,0,472,0.000000,Y
7017,Carbon Capture Sci Technol,Carbon Capture Science & Technology,0,1,0.000000,N
7018,Carbon Futur,Carbon future,0,1,0.000000,N
7019,Carbon Lett (Korean Carbon Soc),Carbon letters,0,7,0.000000,N
7020,Carbon Manag,Carbon management,0,2,0.000000,N
7021,Carbon N Y,Carbon,0,81,0.000000,Y
7022,Carbon Res,Carbon research,0,1,0.000000,N
7023,Carbon Trends,Carbon trends,0,5,0.000000,N
7024,Carbonates Evaporites,Carbonates and evaporites,0,5,0.000000,N
7025,Card Fail Rev,Cardiac failure review,0,287,0.000000,Y
7026,Cardiogenetics,Cardiogenetics,0,7,0.000000,N
7027,Cardiol Angiol,Cardiology and angiology,0,3,0.000000,N
7028,Cardiol Cardiovasc Med,Cardiology and cardiovascular medicine,0,50,0.000000,Y
7029,Cardiol Discov,Cardiology discovery,0,11,0.000000,N
7030,Cardiol Plus,Cardiology plus,0,30,0.000000,N
